className,studentName,subjectName,type
行政班1,学生1,行政班,0
行政班1,学生5,行政班,0
行政班1,学生9,行政班,0
行政班1,学生13,行政班,0
行政班2,学生2,行政班,0
行政班2,学生6,行政班,0
行政班2,学生10,行政班,0
行政班2,学生14,行政班,0
行政班3,学生3,行政班,0
行政班3,学生7,行政班,0
行政班3,学生11,行政班,0
行政班3,学生15,行政班,0
行政班4,学生4,行政班,0
行政班4,学生8,行政班,0
行政班4,学生12,行政班,0
行政班4,学生16,行政班,0
物理班1,学生1,物理,1
物理班1,学生5,物理,1
物理班1,学生9,物理,1
物理班1,学生13,物理,1
会考历史班1,学生1,历史,2
会考历史班1,学生5,历史,2
会考历史班1,学生9,历史,2
会考历史班1,学生13,历史,2
物理班2,学生2,物理,1
物理班2,学生6,物理,1
物理班2,学生10,物理,1
物理班2,学生14,物理,1
物理班2,学生15,物理,1
会考政治班1,学生1,政治,2
会考政治班1,学生5,政治,2
会考政治班1,学生9,政治,2
会考政治班1,学生13,政治,2
会考地理班1,学生1,地理,2
会考地理班1,学生5,地理,2
会考地理班1,学生9,地理,2
会考地理班1,学生13,地理,2
生物班1,学生1,生物,1
生物班1,学生5,生物,1
生物班1,学生9,生物,1
生物班1,学生13,生物,1
化学班4,学生2,化学,1
化学班4,学生6,化学,1
化学班4,学生10,化学,1
会考地理班3,学生2,地理,2
会考地理班3,学生3,地理,2
会考地理班3,学生6,地理,2
会考地理班3,学生10,地理,2
化学班1,学生1,化学,1
化学班1,学生5,化学,1
化学班1,学生9,化学,1
化学班1,学生13,化学,1
生物班4,学生2,生物,1
生物班4,学生7,生物,1
生物班4,学生14,生物,1
生物班4,学生15,生物,1
会考政治班4,学生14,政治,2
会考政治班4,学生7,政治,2
会考政治班4,学生4,政治,2
会考政治班4,学生2,政治,2
会考历史班2,学生2,历史,2
会考历史班2,学生6,历史,2
会考历史班2,学生10,历史,2
会考历史班2,学生14,历史,2
会考历史班2,学生15,历史,2
化学班2,学生3,化学,1
化学班2,学生7,化学,1
化学班2,学生11,化学,1
会考化学班1,学生4,化学,2
会考化学班1,学生8,化学,2
会考化学班1,学生12,化学,2
会考化学班1,学生14,化学,2
会考化学班1,学生15,化学,2
历史班1,学生3,历史,1
历史班1,学生7,历史,1
历史班1,学生11,历史,1
政治班1,学生3,政治,1
政治班1,学生6,政治,1
政治班1,学生10,政治,1
政治班1,学生12,政治,1
地理班2,学生4,地理,1
地理班2,学生8,地理,1
地理班2,学生12,地理,1
地理班2,学生16,地理,1
会考生物班1,学生3,生物,2
会考生物班1,学生6,生物,2
会考生物班1,学生10,生物,2
会考生物班1,学生12,生物,2
会考生物班1,学生16,生物,2
会考物理班1,学生4,物理,2
会考物理班1,学生8,物理,2
会考物理班1,学生12,物理,2
会考物理班1,学生16,物理,2
历史班2,学生4,历史,1
历史班2,学生8,历史,1
历史班2,学生12,历史,1
历史班2,学生16,历史,1
会考地理班2,学生7,地理,2
会考地理班2,学生11,地理,2
生物班2,学生4,生物,1
生物班2,学生8,生物,1
生物班2,学生11,生物,1
会考政治班2,学生8,政治,2
会考政治班2,学生11,政治,2
会考政治班2,学生15,政治,2
会考物理班2,学生3,物理,2
会考物理班2,学生7,物理,2
会考物理班2,学生11,物理,2
地理班1,学生14,地理,1
地理班1,学生15,地理,1
会考政治班3,学生16,政治,2
化学班3,学生16,化学,1
