id,eduClass,eduClassIndex,period,room
1,行政班6,0,1_5,room7
2,行政班6,1,4_2,room4
3,行政班6,2,2_2,room4
4,行政班6,3,3_1,room3
5,行政班6,4,2_7,room7
6,行政班6,5,4_8,room4
7,行政班6,6,3_5,room7
8,行政班6,7,3_6,room7
9,行政班6,8,5_1,room10
10,行政班6,9,5_7,room3
11,行政班6,10,2_6,room3
12,行政班6,11,2_8,room7
13,行政班6,12,4_7,room4
14,行政班6,13,5_6,room10
15,行政班6,14,3_4,room3
16,行政班6,15,5_5,room3
17,行政班6,16,2_1,room3
18,行政班6,17,3_8,room7
19,行政班6,18,3_2,room4
20,行政班6,19,1_3,room4
21,行政班6,20,4_6,room7
22,行政班6,21,4_5,room3
23,行政班4,0,3_5,room5
24,行政班4,1,3_6,room5
25,行政班4,2,4_6,room10
26,行政班4,3,1_5,room5
27,行政班4,4,4_3,room6
28,行政班4,5,4_4,room5
29,行政班4,6,3_5,room3
30,行政班4,7,4_5,room2
31,行政班4,8,1_8,room2
32,行政班4,9,2_4,room6
33,行政班4,10,3_4,room5
34,行政班4,11,3_1,room6
35,行政班4,12,2_5,room5
36,行政班4,13,2_3,room5
37,行政班4,14,1_7,room3
38,行政班4,15,5_5,room6
39,行政班4,16,5_6,room3
40,行政班4,17,2_1,room6
41,行政班4,18,1_3,room5
42,行政班4,19,4_2,room6
43,行政班4,20,2_7,room5
44,行政班4,21,1_4,room2
45,会考地理1,0,1_7,room2
46,会考地理1,1,1_1,room2
47,行政班8,0,3_8,room5
48,行政班8,1,2_4,room8
49,行政班8,2,5_5,room10
50,行政班8,3,3_5,room8
51,行政班8,4,1_3,room10
52,行政班8,5,3_6,room8
53,行政班8,6,1_6,room8
54,行政班8,7,3_1,room10
55,行政班8,8,5_1,room5
56,行政班8,9,2_3,room8
57,行政班8,10,5_6,room5
58,行政班8,11,4_8,room10
59,行政班8,12,2_5,room10
60,行政班8,13,4_4,room8
61,行政班8,14,2_1,room10
62,行政班8,15,4_3,room8
63,行政班8,16,1_4,room10
64,行政班8,17,3_7,room10
65,行政班8,18,3_3,room5
66,行政班8,19,1_8,room8
67,行政班8,20,2_2,room10
68,行政班8,21,2_6,room8
69,会考生物1,0,1_1,room1
70,会考生物1,1,5_4,room1
71,历史2,0,5_6,room1
72,历史2,1,1_3,room1
73,历史2,2,5_3,room1
74,历史2,3,4_6,room1
75,会考物理1,0,3_7,room3
76,会考物理1,1,3_8,room3
77,生物2,0,4_2,room3
78,生物2,1,2_7,room3
79,生物2,2,4_7,room3
80,生物2,3,1_5,room3
81,会考历史3,0,4_5,room5
82,会考历史3,1,3_2,room5
83,地理1,0,1_6,room3
84,地理1,1,5_1,room3
85,地理1,2,2_2,room3
86,地理1,3,3_3,room3
87,政治1,0,5_8,room1
88,政治1,1,1_2,room1
89,政治1,2,5_2,room1
90,政治1,3,4_1,room1
91,会考历史1,0,3_7,room1
92,会考历史1,1,2_5,room1
93,会考政治2,0,1_1,room10
94,会考政治2,1,1_2,room10
95,会考化学1,0,4_7,room9
96,会考化学1,1,4_8,room9
97,会考地理3,0,2_5,room2
98,会考地理3,1,1_3,room2
99,物理3,0,5_2,room7
100,物理3,1,4_1,room7
101,物理3,2,5_3,room7
102,物理3,3,5_4,room7
103,化学1,0,1_8,room9
104,化学1,1,4_4,room9
105,化学1,2,3_3,room9
106,化学1,3,2_3,room9
107,物理1,0,4_3,room5
108,物理1,1,1_6,room5
109,物理1,2,2_4,room5
110,物理1,3,1_4,room5
111,会考物理2,0,3_7,room4
112,会考物理2,1,3_8,room4
113,行政班7,0,3_7,room5
114,行政班7,1,1_4,room6
115,行政班7,2,2_8,room5
116,行政班7,3,4_6,room9
117,行政班7,4,4_2,room5
118,行政班7,5,3_8,room2
119,行政班7,6,2_3,room6
120,行政班7,7,5_7,room7
121,行政班7,8,3_6,room2
122,行政班7,9,4_4,room2
123,行政班7,10,3_8,room6
124,行政班7,11,4_7,room6
125,行政班7,12,1_8,room5
126,行政班7,13,2_1,room2
127,行政班7,14,4_5,room6
128,行政班7,15,3_5,room6
129,行政班7,16,2_7,room9
130,行政班7,17,4_3,room2
131,行政班7,18,1_7,room6
132,行政班7,19,3_4,room7
133,行政班7,20,2_2,room9
134,行政班7,21,5_5,room7
135,行政班5,0,1_4,room1
136,行政班5,1,5_5,room4
137,行政班5,2,5_1,room1
138,行政班5,3,4_3,room9
139,行政班5,4,5_7,room9
140,行政班5,5,3_6,room6
141,行政班5,6,2_3,room10
142,行政班5,7,1_8,room10
143,行政班5,8,1_5,room4
144,行政班5,9,2_5,room9
145,行政班5,10,5_4,room6
146,行政班5,11,2_8,room9
147,行政班5,12,2_6,room9
148,行政班5,13,3_4,room1
149,行政班5,14,2_4,room10
150,行政班5,15,3_3,room10
151,行政班5,16,2_2,room1
152,行政班5,17,3_2,room10
153,行政班5,18,3_5,room9
154,行政班5,19,2_1,room9
155,行政班5,20,1_6,room4
156,行政班5,21,4_5,room1
157,化学3,0,4_7,room5
158,化学3,1,4_1,room5
159,化学3,2,5_2,room5
160,化学3,3,4_8,room5
161,会考地理2,0,1_7,room9
162,会考地理2,1,5_8,room9
163,会考生物2,0,5_3,room3
164,会考生物2,1,5_4,room3
165,历史1,0,3_2,room2
166,历史1,1,2_6,room2
167,历史1,2,5_7,room2
168,历史1,3,2_8,room2
169,生物1,0,4_2,room8
170,生物1,1,4_4,room3
171,生物1,2,3_1,room8
172,生物1,3,2_7,room8
173,会考历史2,0,2_4,room4
174,会考历史2,1,3_3,room4
175,地理2,0,1_7,room4
176,地理2,1,5_2,room4
177,地理2,2,5_8,room4
178,地理2,3,4_1,room4
179,会考政治3,0,1_1,room5
180,会考政治3,1,5_4,room5
181,会考政治1,0,1_1,room9
182,会考政治1,1,1_2,room9
183,会考化学2,0,4_6,room8
184,会考化学2,1,5_7,room8
185,物理2,0,5_6,room6
186,物理2,1,3_2,room6
187,物理2,2,4_8,room6
188,物理2,3,5_1,room6
189,化学2,0,2_6,room7
190,化学2,1,1_5,room2
191,化学2,2,1_6,room7
192,化学2,3,3_1,room2
193,物理4,0,5_8,room2
194,物理4,1,4_1,room2
195,物理4,2,5_3,room2
196,物理4,3,5_2,room2
